processid,sampleid,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,voucher_type,tissue_type,collectors,collectiondate,lifestage,sex,reproduction,extrainfo,notes,lat,lon,coord_source,coord_accuracy,country,province,region,exactsite
UHURU610-14,C11_K1245_Emilia,4473472, ,RRH_13_022C,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,35476,Asterales,100962,Asteraceae, , ,306510,Emilia,591081,Emilia discifolia, , ,N. Mwadime, , ,Rhianna Hohbein,24/07/2013, , , ,RRH_13_022C, ,0.282,36.894, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU652-14,E4_K1246_Chloris_virgata,4473514, ,RRH_13_033A,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae, , ,204843,Chloris,204900,Chloris virgata, , ,N. Mwadime, , ,Rhianna Hohbein,07/08/2013, , , ,RRH_13_033A, ,0.42,36.912, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU735-14,H2_K1247_Cyperus,4473597, ,RRH_13_053D,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,121156,Cyperaceae,600319,Cyperoideae,121840,Cyperus,719995,Cyperus amauropus, , ,N. Mwadime, , ,Rhianna Hohbein,26/11/2013, , , ,RRH_13_053D, ,0.42,36.912, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU866-14,C5_K1268_Delosperma_nakurense,4913651,Delosperma_nakurense_0174918691,174918691,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,42252,Caryophyllales,350966,Aizoaceae, , ,351060,Delosperma,644551,Delosperma nakurense, , ,N. Mwadime, , ,Rhiana Hohbein,25/04/2014, , , ,RRH 14-035, ,0.282,36.894, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU917-14,F11_K1268_Unknown_sp,4913702,Unknown_sp_0174918658,174918658,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,35476,Asterales,100962,Asteraceae, , ,121518,Conyza,676193,Conyza stricta, , ,N. Mwadime, , ,Rhiana Hohbein,29/04/2014, , , ,RRH 14-048, ,0.321,36.88, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU946-14,C3_K1269_Ocimum_sp,4913731,Ocimum_sp_0174918309,174918309,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121216,Lamiales,121311,Lamiaceae, , ,306435,Ocimum,427476,Ocimum gratissimum, , ,N. Mwadime, , ,Rhiana Hohbein,06/05/2014, , , ,RRH 14-055, ,0.319,36.91, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU992-14,A9_K1269_Barleria_acanthoides,4913777,Barleria_acanthoides_0174918327,174918327,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121216,Lamiales,148533,Acanthaceae,264310,Acanthoideae,204958,Barleria,676183,Barleria gracilispina, , ,N. Mwadime, , ,Rhiana Hohbein,20/05/2014, , , ,RRH 14-067, ,0.478,36.87, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
GBITS6462-21,KF318917,13474979, ,KF318917,"Mined from GenBank, NCBI", ,12,Magnoliophyta,44,Liliopsida,122203,Asparagales,124684,Orchidaceae, , ,373603,Oeceoclades,373604,Oeceoclades maculata, , , , , , ,07/10/2009, , , , ,Odhiambo 10, , , , ,Kenya, , , 
GBVH1174-11,FJ743753,2300586,Beentje 2341 (WAG),FJ743753,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,183,Magnoliales,1090,Annonaceae, , ,204976,Uvaria,665345,Uvaria acuminata, , , , , , , , , , ,taxon:672960,authority: Uvaria acuminata Oliv.,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
GBVW849-13,JX177561,3715670, ,JX177561,"Mined from GenBank, NCBI", ,12,Magnoliophyta,44,Liliopsida,148675,Dioscoreales,126475,Dioscoreaceae, , ,126476,Dioscorea,557009,Dioscorea sp. KDio60, , , , , , , , , , ,taxon:1227058, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
ITSAI3932-14,FJ792927,4678620,R.D. Stone et al. 2415  CAS,FJ792927,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,121377,Myrtales,148514,Melastomataceae, , ,287182,Warneckea,623655,Warneckea amaniensis, , , , , , , , , , ,Warneckea amaniensis, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
ITSAL4764-14,HQ721863,4660307,Vorontsova 20 (BM),HQ721863,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,197,Solanales,1125,Solanaceae,2865,Solanoideae,7060,Solanum,517254,Solanum mauense, , , , , , , , , , ,Solanum mauense, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
KPLA139-11,KK 045,1983636, ,KK 045,National Museums of Kenya, ,12,Magnoliophyta,44,Liliopsida,122203,Asparagales,124684,Orchidaceae, , ,373603,Oeceoclades,373607,Oeceoclades zazibarica, , ,Daniel Miyawa, , , ,18/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
KPLA156-11,KK 062,1983653, ,KK 062,National Museums of Kenya, ,12,Magnoliophyta,44,Liliopsida,122203,Asparagales,124684,Orchidaceae, , ,373603,Oeceoclades,373608,Oeceoclades ugandae, , ,Daniel Miyawa, , , ,19/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
UHURU065-14,A9_K1207_Lippia_javanica,4110441,Lippia_javanica_151967799,151967799,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121216,Lamiales,121484,Verbenaceae, , ,148739,Lantana,720002,Lantana viburnoides, , ,N. Mwadime, , ,Elyse DeFranco,18/07/2012, , , ,EAD_12_007, ,0.293,36.898, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1065-14,B6_K1270_Cyperus_sp,4913850,Cyperus_sp_0174917741,174917741,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,121156,Cyperaceae,600319,Cyperoideae,121840,Cyperus,423726,Cyperus cyperoides, , ,N. Mwadime, , ,Rhiana Hohbein,22/05/2014, , , ,RRH 14-088, ,0.32,36.98, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU109-14,E2_K1212_Gutenbergia_boranensis,4110485,Gutenbergia_boranensis_151967950,151967950,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,35476,Asterales,100962,Asteraceae, , ,590211,Gutenbergia,591064,Gutenbergia boranensis, , ,N. Mwadime, , ,Elyse DeFranco,25/06/2012, , , ,EAD_12_021, ,0.481,36.874, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1092-14,E9_K1270_Unknown_sp,4913877,Unknown_sp_0174917703,174917703,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae, , ,194934,Pennisetum,676199,Pennisetum hohenackeri, , ,N. Mwadime, , ,Rhiana Hohbein,22/05/2014, , , ,RRH 14-098, ,0.32,36.98, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1303-15,E6_K1301_Dinebra_retroflexa,5427028,E6_K1301_Dinebra_retroflexa, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae, , ,553791,Leptothrium,706799,Leptothrium senegalense, , ,Munyao F., , ,Samson Kurukura,09/09/2014, , , ,SKS14-041, ,0.43,36.912, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
